2BR	1.92440	0.81318	2.07159	0.93215	2.21754	0.91743	2.27028	1.16273	2.17339	1.17745	1.91704	1.14311	1.62391	1.12226	1.73675	1.46201	1.80911	1.49880	1.54664	2.05196	1.77231	2.17707	0.52372	2.41133	0.59976	3.06875	0.85243	3.12516	1.83241	2.63210
7ER	0.63043	2.62597	0.80704	2.67381	0.86837	2.79646	1.10386	2.72655	1.06339	2.65418	0.91130	2.43096	0.73100	2.24330	1.10999	2.10593	1.17868	2.14640	1.50739	1.73675	1.72448	1.85572	1.29643	0.68807	1.84468	0.43541	2.04705	0.61448	2.09857	1.72080
9DL	0.94196	2.65541	0.89658	2.48860	0.78865	2.42605	0.83893	2.19056	0.91866	2.25066	1.16028	2.39171	1.36388	2.56955	1.48408	2.19792	1.44851	2.11819	1.86921	1.72203	1.78335	1.56626	2.97798	2.03847	3.29320	1.43257	3.10431	1.23755	1.96733	1.15783
12CL	2.61984	1.99431	2.58427	1.83609	2.64805	1.72448	2.50087	1.56381	2.44445	1.62881	2.31566	1.85817	2.21999	2.11329	1.94525	1.85081	1.95875	1.75637	1.42521	1.68278	1.44483	1.43993	0.65496	2.34387	0.08462	1.96243	0.15208	1.73429	1.13575	1.14556
5ER	2.52785	2.43096	2.35859	2.52049	2.36227	2.66767	2.11942	2.64192	2.13046	2.57078	2.18810	2.31934	2.28500	2.05196	1.91214	2.06423	1.85694	2.12923	1.37124	1.83609	1.20321	1.97714	1.30256	0.67213	0.65496	0.57646	0.50409	0.80214	0.82299	1.98082
4CR	0.98489	1.08424	0.93828	1.26331	0.78129	1.28784	0.80704	1.52578	0.88309	1.50739	1.13452	1.41540	1.38841	1.27803	1.44729	1.67419	1.36879	1.73061	1.73307	2.12187	1.57607	2.32057	2.83325	2.09857	3.00742	2.72655	2.79891	2.87986	1.65580	2.74985
1DR	2.58427	1.65334	2.49964	1.50861	2.54747	1.36266	2.35123	1.25350	2.31566	1.34058	2.27519	1.58466	2.23594	1.86062	1.89129	1.67787	1.88761	1.58834	1.35407	1.66070	1.26331	1.45465	0.76166	2.54625	0.12142	2.31198	0.14963	2.06300	0.87205	1.27925
8BL	1.04990	2.88231	0.95913	2.74004	0.78987	2.75230	0.77515	2.48124	0.86960	2.48615	1.13085	2.56587	1.40681	2.65418	1.34181	2.30094	1.27435	2.24452	1.59447	1.77354	1.39209	1.63126	2.73636	1.60428	2.79033	0.96036	2.54747	0.83893	1.44115	1.11367
3HR	1.42644	3.00129	1.57485	2.94487	1.69872	2.98902	1.85572	2.82344	1.78213	2.78051	1.54173	2.71551	1.27067	2.63088	1.49389	2.33529	1.59079	2.33897	1.57362	1.73184	1.82996	1.69750	0.74327	1.07565	1.02291	0.47588	1.28539	0.48079	2.05441	1.36879
4AL	1.13575	0.89290	1.30378	0.85120	1.37983	0.74327	1.60060	0.82054	1.56013	0.91007	1.38841	1.12349	1.18727	1.32831	1.54786	1.42889	1.62145	1.38964	1.98205	1.87166	2.17461	1.79685	1.60428	2.99270	2.20405	3.23923	2.41010	3.06752	2.52049	1.95507
5GL	2.67871	2.59654	2.54993	2.71183	2.55115	2.85656	2.32425	2.86514	2.30953	2.77683	2.34755	2.54870	2.42482	2.27028	2.05687	2.35000	2.01271	2.41624	1.52088	2.12923	1.35530	2.33651	1.32586	1.07565	0.66722	1.07811	0.58872	1.33077	0.97998	2.36595
12AR	0.62184	2.20650	0.77393	2.28255	0.80704	2.40397	1.01065	2.35736	0.98489	2.28132	0.89290	2.08140	0.74327	1.88515	1.07320	1.84100	1.13207	1.87780	1.46201	1.52088	1.64844	1.63494	1.32831	0.53844	1.88761	0.35323	2.03847	0.49551	2.02743	1.52824
9FR	0.71015	1.57362	0.81686	1.43380	0.79601	1.30010	1.03150	1.21548	1.04867	1.30256	1.04008	1.56381	1.01065	1.85449	1.35652	1.70486	1.39087	1.62881	1.91582	1.82505	2.04092	1.61532	2.28868	2.78297	2.93873	2.69956	2.98657	2.45671	2.43954	1.51475
7HR	2.46652	2.83203	2.53153	2.67994	2.61003	2.60144	2.58304	2.39048	2.50455	2.41992	2.25802	2.55606	2.05319	2.73145	1.94035	2.35000	1.98082	2.27887	1.61164	1.98328	1.67787	1.74533	0.55193	2.19424	0.28577	1.55031	0.46117	1.37860	1.54909	1.34794
9GR	0.62552	2.76457	0.59731	2.58427	0.43909	2.52540	0.54702	2.27273	0.61325	2.31934	0.80214	2.51068	1.04499	2.69098	1.14556	2.32425	1.08546	2.23962	1.56994	1.93544	1.47918	1.67665	2.71183	2.18565	2.98412	1.59447	2.80872	1.40927	1.66315	1.28048
5FL	2.33529	2.40029	2.18197	2.46530	2.13414	2.59408	1.91336	2.52417	1.92563	2.45058	2.06423	2.27519	2.21509	2.00903	1.84591	1.94525	1.78213	1.98450	1.40559	1.62023	1.22161	1.69995	1.59570	0.55438	1.00819	0.30172	0.82790	0.45994	0.81808	1.56503
